168.;06/11/100/0000356/2017;DNS;2017-02-13;2017-02-27;;155/00063/17/A1/210;2017-02-27;252.00;;0.00;0.00;252.00
169.;06/11/100/0000356/2017;PMD;2017-02-13;2017-02-27;;155/00063/17/A1/210;2017-02-27;100.80;;14.58;0.00;115.38
170.;06/11/100/0000357/2017;WSV;2017-02-13;2017-02-13;41212;243/00011/17/X/210;2017-02-28;957.60;;391.68;0.00;1349.28
171.;06/11/100/0000358/2017;PMK;2017-02-13;2017-02-23;;100/00196/17/1/210;2017-02-23;2205.00;;522.60;0.00;2727.60
172.;06/11/100/0000359/2017;PMK;2017-02-13;2017-02-16;;100/00179/17/1/210;2017-02-16;1302.00;;799.95;0.00;2101.95
173.;06/11/100/0000359/2017;WSV;2017-02-13;2017-02-14;41335;243/00011/17/X/210;2017-02-28;520.80;;23.48;0.00;544.28
174.;06/11/100/0000360/2017;NMK;2017-02-13;2017-02-14;;100/00174/17/1/210;2017-02-14;440.00;;530.96;0.00;970.96
175.;06/11/100/0000361/2017;DNS;2017-02-13;2017-02-22;;155/00054/17/A1/210;2017-02-22;588.00;;733.44;0.00;1321.44
176.;06/11/100/0000361/2017;DUK;2017-02-13;2017-02-22;;155/00054/17/A1/210;2017-02-22;0.00;;1601.04;0.00;1601.04
177.;06/11/100/0000361/2017;PMD;2017-02-13;2017-02-22;;155/00054/17/A1/210;2017-02-22;100.80;;7.29;0.00;108.09
178.;06/11/100/0000362/2017;DNS;2017-02-13;2017-02-28;;155/00075/17/A1/210;2017-02-28;100.80;;2500.00;0.00;2600.80
179.;06/11/100/0000362/2017;PMD;2017-02-13;2017-02-28;;155/00075/17/A1/210;2017-02-28;100.80;;14.58;0.00;115.38
180.;06/11/100/0000363/2017;DNS;2017-02-13;2017-02-28;;155/00072/17/A1/210;2017-02-28;100.80;;0.00;0.00;100.80
181.;06/11/100/0000363/2017;PMD;2017-02-13;2017-02-28;;155/00072/17/A1/210;2017-02-28;100.80;;7.29;0.00;108.09
182.;06/11/100/0000364/2017;DNS;2017-02-13;2017-02-28;;155/00071/17/A1/210;2017-02-28;100.80;;0.00;0.00;100.80
183.;06/11/100/0000364/2017;PMD;2017-02-13;2017-02-28;;155/00071/17/A1/210;2017-02-28;100.80;;14.58;0.00;115.38
184.;06/11/100/0000365/2017;DNS;2017-02-13;2017-02-28;;155/00066/17/A1/210;2017-02-28;100.80;;0.00;0.00;100.80
185.;06/11/100/0000365/2017;PMD;2017-02-13;2017-02-28;;155/00066/17/A1/210;2017-02-28;100.80;;14.58;0.00;115.38
186.;06/11/100/0000366/2017;DNS;2017-02-13;2017-02-28;;155/00069/17/A1/210;2017-02-28;100.80;;0.00;0.00;100.80
187.;06/11/100/0000366/2017;PMD;2017-02-13;2017-02-28;;155/00069/17/A1/210;2017-02-28;100.80;;14.58;0.00;115.38
188.;06/11/100/0000367/2017;DNS;2017-02-13;2017-02-28;;155/00070/17/A1/210;2017-02-28;100.80;;0.00;0.00;100.80
